fecha,villa victoria Almacenamiento,villa victoria porcentaje Almacenamiento,villa victoria lluvia,valle de bravo Almacenamiento,valle de bravo porcentaje Almacenamiento,valle de bravo lluvia,el bosque Almacenamiento,el bosque porcentaje Almacenamiento,el bosque lluvia,suma almacenamiento,almacenamiento
29/08/2018,131.204,70.64,6.5,291.764,73.98,1.1,163.322,80.69,2.5,"586,290,000",74.92
30/08/2018,135.02,72.7,20,292.438,74.15,7.5,164.92,81.48,15,"592,378,000",75.7
31/08/2018,137.564,74.07,7.3,293.456,74.41,3.1,166.142,82.09,4,"597,162,000",76.31
01/08/2019,133.239,71.74,0,313.356,79.45,0,107.48,53.1,0,"554,075,000",70.81
02/08/2019,133.239,71.74,1,313.356,79.45,3.5,108.36,53.54,8,"554,955,000",70.92
03/08/2019,133.239,71.74,0,312.976,79.36,0,109,53.85,0,"555,215,000",70.95
04/08/2019,133.239,71.74,4,312.787,79.31,4.5,109.48,54.09,5.5,"555,506,000",70.99
05/08/2019,132.985,71.6,0,312.597,79.26,0,109.96,54.33,12.6,"555,542,000",70.99
06/08/2019,132.985,71.6,2,312.597,79.26,8,110.6,54.64,6.2,"556,182,000",71.08
07/08/2019,133.748,72.01,28,312.408,79.21,15,111.8,55.24,32.5,"557,956,000",71.3
08/08/2019,134.511,72.42,2,312.408,79.21,0,112.502,55.58,0,"559,421,000",71.49
09/08/2019,134.765,72.56,18.5,312.408,79.21,2,113.672,56.16,19.5,"560,845,000",71.67
10/08/2019,135.529,72.97,6,312.787,79.31,20,114.764,56.7,7,"563,080,000",71.96
11/08/2019,136.292,73.38,22.5,312.787,79.31,3.6,115.856,57.24,7.6,"564,935,000",72.19
12/08/2019,137.309,73.93,24,313.166,79.41,11.5,117.338,57.97,10,"567,813,000",72.56
13/08/2019,138.836,74.75,2,313.736,79.55,2.3,118.586,58.59,2,"571,158,000",72.99
14/08/2019,141.38,76.12,35,313.356,79.45,1.5,119.948,59.26,3.6,"574,684,000",73.44
15/08/2019,141.38,76.12,0,313.736,79.55,2,121.514,60.04,4,"576,630,000",73.69
16/08/2019,141.38,76.12,3,313.736,79.55,0,122.993,60.77,5,"578,109,000",73.88
17/08/2019,143.161,77.08,16.8,313.736,79.55,5.2,124.646,61.58,25.2,"581,543,000",74.32
18/08/2019,143.69,77.36,0,313.926,79.6,9,126.038,62.27,0.5,"583,654,000",74.59
19/08/2019,143.69,77.36,0,313.166,79.41,0,127.256,62.87,0.6,"584,112,000",74.64
20/08/2019,143.415,77.22,0,312.787,79.31,2.5,128.126,63.3,4.9,"584,328,000",74.67
21/08/2019,143.415,77.22,0,312.597,79.26,12.4,129.33,63.9,32.4,"585,342,000",74.8
22/08/2019,143.415,77.22,5,312.976,79.36,27,130.875,64.66,23.7,"587,266,000",75.05
23/08/2019,143.69,77.36,1.5,313.356,79.45,4.3,132.008,65.22,19.5,"589,054,000",75.28
24/08/2019,143.69,77.36,0,312.976,79.36,0,133.45,65.93,0,"590,116,000",75.41
25/08/2019,143.69,77.36,0,312.597,79.26,0,134.48,66.44,0,"590,767,000",75.5
26/08/2019,143.69,77.36,6,312.408,79.21,1,135.407,66.9,2,"591,505,000",75.59
27/08/2019,143.965,77.51,4.5,312.408,79.21,2.5,136.128,67.26,0,"592,501,000",75.72
28/08/2019,143.965,77.51,0,312.219,79.17,0,136.952,67.66,0,"593,136,000",75.8
29/08/2019,143.965,77.51,1,312.219,79.17,1.8,138.291,68.33,35.6,"594,475,000",75.97
30/08/2019,143.965,77.51,2,311.841,79.07,0,138.992,68.67,3.8,"594,798,000",76.01
31/08/2019,143.965,77.51,0,311.653,79.02,0,139.58,68.96,0,"595,198,000",76.06
01/02/2018,141.889,76.39,0,338.129,85.73,0,154.79,76.48,0,"634,808,000",81.12
02/02/2018,141.634,76.26,0,337.791,85.65,0,154.52,76.34,0,"633,945,000",81.01
03/02/2018,141.125,75.98,0,337.282,85.52,0,154.07,76.12,0,"632,477,000",80.83
04/02/2018,140.871,75.85,0,336.943,85.43,0,153.62,75.9,0,"631,434,000",80.69
05/02/2018,140.617,75.71,0,336.431,85.3,0,153.26,75.72,0,"630,308,000",80.55
06/02/2018,140.362,75.57,0,335.918,85.17,0,152.72,75.45,0,"629,000,000",80.38
07/02/2018,140.108,75.44,0,335.403,85.04,0,152.27,75.23,0,"627,781,000",80.23
08/02/2018,139.853,75.3,0,334.886,84.91,0,151.82,75.01,0,"626,559,000",80.07
09/02/2018,139.599,75.16,0,334.367,84.78,0,151.28,74.74,0,"625,246,000",79.9
10/02/2018,139.345,75.03,0,333.846,84.65,0,150.56,74.39,0,"623,751,000",79.71
11/02/2018,139.09,74.89,0,333.322,84.52,0,149.3,73.76,0,"621,712,000",79.45
12/02/2018,138.836,74.75,0,334.194,84.74,0,148.302,73.27,0,"621,332,000",79.4
13/02/2018,138.581,74.61,0,333.846,84.65,0,147.126,72.69,0,"619,553,000",79.17
14/02/2018,138.078,74.34,0,333.672,84.6,0,146.048,72.16,0,"617,798,000",78.95
15/02/2018,137.818,74.2,0,333.497,84.56,0,144.97,71.63,0,"616,285,000",78.76
16/02/2018,137.564,74.07,0,333.497,84.56,0,143.892,71.09,0,"614,953,000",78.59
17/02/2018,137.309,73.93,0,333.497,84.56,0,142.814,70.56,0,"613,620,000",78.42
18/02/2018,137.055,73.79,0,333.497,84.56,0,141.736,70.03,0,"612,288,000",78.25
19/02/2018,136.801,73.66,0,333.497,84.56,0,140.56,69.45,0,"610,858,000",78.06
20/02/2018,136.292,73.38,0,332.971,84.43,0,139.482,68.91,0,"608,745,000",77.79
21/02/2018,136.037,73.24,0,332.971,84.43,0,138.291,68.33,0,"607,299,000",77.61
22/02/2018,135.529,72.97,0,332.971,84.43,0,136.952,67.66,0,"605,452,000",77.37
23/02/2018,135.274,72.83,1,332.971,84.43,0,135.819,67.1,0,"604,064,000",77.19
24/02/2018,135.529,72.97,0,332.796,84.38,0,134.583,66.49,0,"602,908,000",77.05
25/02/2018,135.274,72.83,0,332.796,84.38,0,133.347,65.88,0,"601,417,000",76.86
26/02/2018,135.529,72.97,15,332.796,84.38,0,132.214,65.32,0,"600,539,000",76.74
27/02/2018,135.274,72.83,0,332.62,84.34,0,130.978,64.71,0,"598,872,000",76.53
28/02/2018,135.02,72.7,0,332.62,84.34,0,129.742,64.1,0,"597,382,000",76.34
01/02/2019,170.648,91.88,0,373.305,94.65,0,176.8,87.35,0,"720,753,000",92.11
02/02/2019,170.373,91.73,0,372.93,94.56,0,176.5,87.2,0,"719,803,000",91.99
03/02/2019,170.098,91.58,0,372.556,94.46,0,176,86.96,0,"718,654,000",91.84
04/02/2019,169.823,91.43,0,371.997,94.32,0,175.2,86.56,0,"717,020,000",91.63
05/02/2019,169.548,91.29,0,371.627,94.23,0,174.8,86.36,0,"715,975,000",91.5
06/02/2019,169.273,91.14,0,371.258,94.13,0,174.3,86.12,0,"714,831,000",91.35
07/02/2019,168.997,90.99,0,370.348,93.9,0,173.7,85.82,0,"713,045,000",91.12
08/02/2019,168.722,90.84,0,369.798,93.76,0,173.1,85.52,0,"711,620,000",90.94
09/02/2019,168.447,90.69,0,369.438,93.67,0,172.6,85.28,0,"710,485,000",90.79
10/02/2019,168.172,90.55,0,368.721,93.49,0,172.1,85.03,0,"708,993,000",90.6
11/02/2019,167.897,90.4,0,368.721,93.49,0,171.5,84.73,0,"708,118,000",90.49
12/02/2019,167.622,90.25,0,368.543,93.45,0,170.9,84.44,0,"707,065,000",90.36
13/02/2019,167.622,90.25,0,368.189,93.36,0,170.3,84.14,0,"706,111,000",90.24
14/02/2019,167.347,90.1,0,367.661,93.22,0,169.8,83.89,0,"704,808,000",90.07
15/02/2019,167.347,90.1,0,367.137,93.09,0,169,83.5,0,"703,484,000",89.9
16/02/2019,167.072,89.95,0,366.617,92.96,0,168.3,83.15,0,"701,989,000",89.71
17/02/2019,167.072,89.95,0,366.274,92.87,0,167.6,82.81,0,"700,946,000",89.58
18/02/2019,166.797,89.81,0,365.762,92.74,0,166.9,82.46,0,"699,459,000",89.39
19/02/2019,166.522,89.66,0,365.424,92.66,0,166.236,82.13,0,"698,182,000",89.22
20/02/2019,166.247,89.51,0,365.088,92.57,0,165.578,81.81,0,"696,913,000",89.06
21/02/2019,165.972,89.36,0,364.755,92.49,0,164.92,81.48,0,"695,647,000",88.9
22/02/2019,165.696,89.21,0,364.424,92.4,0,164.262,81.16,0,"694,382,000",88.74
23/02/2019,165.421,89.06,0,364.096,92.32,0,163.604,80.83,0,"693,121,000",88.58
24/02/2019,165.146,88.92,0,363.77,92.24,0,162.946,80.51,0,"691,862,000",88.41
25/02/2019,165.146,88.92,5,363.287,92.11,0,162.288,80.18,0,"690,721,000",88.27
26/02/2019,164.596,88.62,0,362.969,92.03,0,161.63,79.86,0,"689,195,000",88.07
27/02/2019,164.046,88.32,0,362.653,91.95,0,160.972,79.53,0,"687,671,000",87.88
28/02/2019,163.771,88.18,0,362.341,91.87,0,160.314,79.21,0,"686,426,000",87.72
01/02/2021,91.215,49.11,0,250.138,63.42,0,108.36,53.54,0,449713000,57.47
02/02/2021,90.583,48.77,0,250.138,63.42,0,107.4,53.06,0,448121000,57.27
03/02/2021,90.162,48.54,0,249.496,63.26,0,106.6,52.67,0,446258000,57.03
04/02/2021,89.741,48.32,0,249.496,63.26,0,105.88,52.31,0,445117000,56.88
05/02/2021,89.321,48.09,0,249.335,63.22,0,105.64,52.19,0,444296000,56.78
06/02/2021,88.268,47.52,0,249.335,63.22,0,105.56,52.15,0,443163000,56.63
07/02/2021,87.637,47.18,0,249.174,63.18,0,105.4,52.08,0,442211000,56.51
08/02/2021,87.216,46.96,0,249.174,63.18,0,105.32,52.04,0,441710000,56.45
09/02/2021,86.374,46.5,0,248.851,63.1,0,105.32,52.04,0,440545000,56.3
10/02/2021,85.743,46.17,0,248.365,62.97,0,105.24,52,0,439348000,56.15
11/02/2021,84.901,45.71,0,248.039,62.89,0,104.92,51.84,0,437860000,55.96
12/02/2021,84.269,45.37,0,248.039,62.89,0,104.12,51.44,0,436428000,55.77
13/02/2021,83.638,45.03,0,247.549,62.77,0,103.116,50.95,0,434303000,55.5
14/02/2021,83.007,44.69,0,247.549,62.77,0,102.28,50.53,0,432836000,55.31
15/02/2021,82.375,44.35,0,247.549,62.77,0,101.444,50.12,0,431368000,55.13
16/02/2021,81.744,44.01,0,247.549,62.77,0,100.532,49.67,0,429825000,54.93
17/02/2021,80.902,43.56,0,248.202,62.93,0,99.696,49.26,0,428800000,54.8
18/02/2021,80.271,43.22,0,248.202,62.93,0,98.936,48.88,0,427409000,54.62
19/02/2021,79.639,42.88,0,248.202,62.93,0,98.86,48.84,0,426701000,54.53
20/02/2021,79.008,42.54,0,247.549,62.77,0,98.708,48.77,0,425265000,54.35
21/02/2021,78.377,42.2,0,247.057,62.64,0,98.632,48.73,0,424066000,54.19
22/02/2021,77.535,41.75,0,246.397,62.48,0,98.556,48.69,0,422488000,53.99
23/02/2021,77.114,41.52,0,246.065,62.39,0,98.404,48.62,0,421583000,53.87
24/02/2021,77.114,41.52,0,245.231,62.18,0,98.404,48.62,0,420749000,53.77
25/02/2021,76.693,41.29,0,244.389,61.97,0,98.176,48.51,0,419258000,53.58
26/02/2021,76.482,41.18,0,243.711,61.79,0,97.188,48.02,0,417381000,53.34
27/02/2021,76.272,41.07,0,243.711,61.79,0,96.276,47.57,0,416259000,53.19
28/02/2021,76.062,40.95,0,242.855,61.58,0,95.47,47.17,0,414387000,52.96
01/07/2020,88.268,47.52,18.8,290.263,73.6,5.2,72.984,36.06,9,"451,515,000",57.7
02/07/2020,88.268,47.52,4,290.761,73.72,INAP,73.176,36.15,3.5,"452,205,000",57.79
03/07/2020,88.058,47.41,0,290.927,73.77,6,73.88,36.5,33.5,"452,865,000",57.87
04/07/2020,88.058,47.41,1.5,291.429,73.89,2,74.273,36.7,4,"453,760,000",57.99
05/07/2020,87.847,47.3,5.6,291.429,73.89,3.8,74.638,36.88,4.5,"453,914,000",58.01
06/07/2020,87.426,47.07,9,291.596,73.94,4.5,75.368,37.24,10.5,"454,390,000",58.07
07/07/2020,87.426,47.07,7.5,291.596,73.94,7,76.463,37.78,28,"455,485,000",58.21
08/07/2020,87.426,47.07,3.3,291.596,73.94,6,77.631,38.36,4,"456,653,000",58.36
09/07/2020,87.426,47.07,0,291.261,73.85,0,78.361,38.72,0,"457,048,000",58.41
10/07/2020,87.216,46.96,0,290.761,73.72,10,79.018,39.04,2,"456,995,000",58.4
11/07/2020,86.795,46.73,3.5,290.263,73.6,0,79.456,39.26,4.5,"456,514,000",58.34
12/07/2020,86.374,46.5,5,289.767,73.47,5.5,79.894,39.47,4,"456,035,000",58.28
13/07/2020,86.585,46.62,8.5,289.437,73.39,INAP,80.624,39.83,1,"456,646,000",58.36
14/07/2020,86.585,46.62,15,289.109,73.31,11,81.354,40.19,12,"457,048,000",58.41
15/07/2020,86.374,46.5,0,288.945,73.26,4,82.166,40.6,0,"457,485,000",58.46
16/07/2020,85.953,46.28,7.5,288.782,73.22,32.5,82.906,40.96,2.5,"457,641,000",58.48
17/07/2020,86.164,46.39,2.5,288.456,73.14,0.5,83.572,41.29,0,"458,192,000",58.55
18/07/2020,85.953,46.28,1.5,288.131,73.06,0,84.09,41.55,0,"458,174,000",58.55
19/07/2020,85.743,46.17,20.5,287.807,72.98,15,84.608,41.8,0,"458,158,000",58.55
20/07/2020,85.953,46.28,33.5,287.807,72.98,0,85.126,42.06,6,"458,886,000",58.64
21/07/2020,86.164,46.39,26.5,287.485,72.89,3.5,85.718,42.35,0,"459,367,000",58.7
22/07/2020,86.164,46.39,3,287.485,72.89,0,86.384,42.68,0,"460,033,000",58.79
23/07/2020,86.164,46.39,14.6,287.324,72.85,2.5,86.976,42.97,0,"460,464,000",58.84
24/07/2020,87.216,46.96,INAP,287.324,72.85,8.7,87.42,43.19,0,"461,960,000",59.03
25/07/2020,87.216,46.96,1,287.163,72.81,13,88.086,43.52,0,"462,465,000",59.1
26/07/2020,87.637,47.18,0,287.163,72.81,1,88.752,43.85,15.5,"463,552,000",59.24
27/07/2020,87.426,47.07,28.2,287.003,72.77,8,89.338,44.14,11,"463,767,000",59.27
28/07/2020,87.216,46.96,52,287.003,72.77,6.2,89.995,44.46,4.5,"464,214,000",59.32
29/07/2020,87.216,46.96,2.2,286.843,72.73,4.5,90.871,44.9,6,"464,930,000",59.41
30/07/2020,87.847,47.3,9,286.843,72.73,25,91.528,45.22,8.5,"466,218,000",59.58
31/07/2020,88.058,47.41,5.5,286.683,72.69,22,92.258,45.58,1,"466,999,000",59.68
01/03/2020,131.204,70.64,0,358.159,90.81,0,123.689,61.11,0,"613,052,000",78.34
02/03/2020,130.949,70.5,0,358,90.77,0,122.993,60.77,0,"611,942,000",78.2
03/03/2020,130.695,70.37,0,357.687,90.69,0,122.471,60.51,0,"610,853,000",78.06
04/03/2020,130.186,70.09,0,357.217,90.57,0,121.949,60.25,0,"609,352,000",77.87
05/03/2020,129.677,69.82,0,356.747,90.46,0,121.34,59.95,0,"607,764,000",77.67
06/03/2020,129.423,69.68,0,356.276,90.34,0,120.731,59.65,0,"606,430,000",77.5
07/03/2020,129.169,69.55,0,355.961,90.26,0,120.122,59.35,0,"605,252,000",77.35
08/03/2020,128.914,69.41,0,355.489,90.14,0,119.6,59.09,0,"604,003,000",77.19
